name,category_id,body,main_image,image_2,image_3
Madcanvases Chicago,2,"Mandy creates digital black and white photography collages which are sublimated onto canvas fabric.  She is a self-taught digital artist and uses her own photographic images as a base before manipulating them into an abstract, layered design.  Her pieces focus on the well-known landmarks of the city and the architectural aspects within.
The process of sublimation turns the inks from a liquid directly into a gas when they are heat pressed onto the canvas, where the ink essentially becomes a part of the fabric and allows the texture of the canvas to remain untouched.
Mandy has exhibited her work in art festivals, small galleries and coffee shops throughout Chicago and the suburbs and continues to look for new locations for her next piece.  She has expanded to landmarks across the Midwest and recently took trips to Boston, New York, Washington DC and Nashville to take photographs for future designs.  She also enjoys working with personal photos to create a one of a kind design that makes for an unforgettable gift.
Mandy graduated from the University of Illinois at Urbana-Champaign with a degree in Computer Engineering in 2003.  After moving to a new condo the West Loop in 2008, Mandy was faced with the task of decorating a large blank wall in her living room.  Her husband and she decided that they wanted artwork that represented Chicago and their new neighborhood but was not the standard, big box store version of the Chicago Theater sign.  Mandy ventured out to take pictures of landmarks around the West Loop and upon realizing that many of her photos weren’t the type to blow up for large format printing, she decided to try collaging four or five of the pictures together to digitally create one design and her style was born.
",madcanvas.jpg,madcanvas2.jpg,madcanvas.jpg
Megan Lee Designs,5,"Every Megan Lee Design begins with a pencil drawing that is screen printed by hand using water-based, environmentally-friendly inks. Their high-quality, visually appealing designs can be found on apparel, totes, and greeting cards and are inspired by Megan’s love of animals, nature and the Midwest. MLD continues to create happiness for each of their customers by providing their unique brand of handmade goodness.",Megan lee designs.png,meganlee2.jpg,meganlee3.jpg
Molly Cranch,1,"Navigating the line between abstraction and realism, Molly Cranch’s paintings are infused with light, air, and atmosphere. Inspired by nature, common subjects include complex botanical forms and delicate gestural renderings of birds and other creatures.
Painting from nature has been an enduring interest of Molly’s. What began as a study in depth, pattern and color, has since evolved into a form of meditation. Painting nature builds a connection to nature in the often hectic, busy city landscape in which she lives.
Molly Cranch received her BFA in painting from Washington University in St. Louis, a K-12 certificate in art education from The School of the Art Institute of Chicago, and is a certified children’s yoga teacher. She lives in Chicago with her family.
",cranch.jpg,cranch2.jpg,cranch3.jpg
Monica Zanetti Designs,5,"
It’s easy to get to know Monica through her artwork. She is as colorful a person as the paint as she uses in her paintings. She is passionate about her family, friends, and an activist for education and women’s rights!
 
With deep roots in California and Mexico, Monica carries with her inspiration from Mexico's Cobble Stone Towns to Chicago’s North Side. Monica paints what she sees and feels. If you get a close look at any piece you’ll notice the many layers that make each piece. Many of her works have multiple media that dance in harmony to tell a story.
 
As an artist, Monica has had her work adorn walls from San Francisco's City Hall to local spots such as Orange Chicago, Denim Lounge and Wishbone North. She’s boasted many solo shows and has even begun a popular commission offering of pet portraits. 
 
With this said, Monica is much more than an artist. What gets her going the most is giving back.
 
She loves to help young people find their passion and is always volunteering at her children’s elementary school in North Chicago. Monica’s a fierce champion for women’s rights and her new line of T-shirts does all the talking. ""The Chingona” for example, is a “Rosie the Riveter” inspired piece that tells the tale of the modern woman’s strength.  
 
Monica loves people and is commonly called a “social butterfly” by her husband. She loves to focus events around her art showings and always puts on a good show.  
 
Monica is a fun loving mother of three. She’s a California girl that moved to Chicago five years ago and loves the tight knit neighborhood feel North Chicago has provided.
 
Be on the lookout for more locations to hold Monica’s artwork and shirts because she is ready to share her vision with anyone wanting to join her! 

",Monica Zanetti Cubbies.jpg,"zanetti.jpg",Monica Zanetti photo.jpg
Paper Parasol Press,3,"Paper Parasol Press was born in 2009, but started a few years prior at the start of a long distance relationship. What started as a correspondence between Chicago, Illinois, and St. Pete, Florida, turned into a full time business. As fate would have it, Chicago became home. In 2012, Paper Parasol Press moved to the San Francisco Bay Area. We now call California our home, but we remain inspired by our Midwest roots and true to the colors and energy of the West Coast. Our cards and limited edition prints can be found in small metropolitan boutiques around the country. We combine inspiration from our Midwest and European roots with American Folk Art and a dash of California cool. We believe in illustration, sketchbooks, travel, and combining our love for traditional letterpress with modern technology.
Paper and envelopes are made with 100% renewable energy. All cards are designed and printed in the USA.
",,,
Cape Horn Illustration,2,"Behind Cape Horn Illustration is Phil Thompson. His origin story: Grew up around Philadelphia, came to ten years ago Chicago to study international relations, then found this city to be the ultimate place to indulge a love of art and architecture, history, and other curiosities. He works from a home/studio along the Ravenswood corridor on Hermitage Avenue. In his art, he celebrates and draws attention to Chicago’s beautiful residential architecture. All of the work begins by hand, with pen and ink on heavyweight drawing paper. In most of his work, he aims for a classic, etched look that calls back to styles of early illustrators and engravers.",Cape horn Illustration.png,,
Purple and Lime,4,"purpleandlime is a line of super-fun and luxurious womenswear, jewelry, and accessories created by Rebecca George. Based in Chicago, it features a mix of comfortable separates and couture statement pieces with an emphasis on color and texture. Favorite materials include fake fur, acrylic, and felt. purpleandlime clothing and accessories are easily mixed-and-matched both with pieces in each collection and with items that the shopper already has in her closet.
Rebecca is originally from Cincinnati, Ohio and attended Walnut Hills High School. She graduated from the University of Michigan in Art History and Geology and then earned a degree in Fashion Design and Marketing from the American Intercontinental University in London, England. Highlights of her career include having several pieces from her graduation collection featured in the international fashion magazine i-D (UK, Feb. 2007) and working on men’s leather pouches for the movie Elizabeth: The Golden Age (which won an Oscar for Best Costume).
",purplelime.jpg,purplelime2.jpg,purplelime3.jpg
Rachel Ourada,4,"Rachel O creates unique fabric button jewelry from her custom fabric in her studio located in Omaha Nebraska. She is inspired by inside jokes, cute animals, and tasty foods. With over 250 different designs in earrings, hairpins, cuff links, and pendants, she has something for everyone! Whether you are looking for an everyday or special occasion accessory, Rachel O's Fabulous Whimsy has you covered.",Rachel o 1.JPG,Rachel o 2.JPG,Rachel.jpg
Razorberries,1," Tanya Pshenychny is an illustrator in Chicago. She creates vibrant watercolor & ink paintings inspired by humans, nature, and human nature. Razorberries is her art studio and the fruits of her labor. The name Razorberries is a reference to the dark and the light parts of life. Also, she loves raspberries. A lot of her recent paintings illustrate the stories she writes and publishes on her social satire news blog called IllustrArticles. ",Razorberries Brainstorm.jpg,Razorberries Broken Flip Flop.jpg,Razorberries Killed with Kindness.jpg
Rebecca Plotnick,2,"Rebecca Plotnick took an unconventional route into the world of photography. She grew up in Cincinnati, Ohio and studied Apparel Merchandising at Indiana University, but couldn’t stay away from photography. Over the last 10 years, she has explored the two poles of the medium – the dark room and the digital world. Rebecca wants her photographs to encourage people to “linger over the beauty of life a little longer.” While much of her work has been based on scenes from her local farmer’s market in Chicago, she has been expanding her portfolio of travel photography with recent trips to Italy, England, Israel and most recently Paris.",plotnick.jpg,plotnick2.jpg,plotnick3.jpg
Redbud Jewelry,4,"Redbud Jewelry marries my love of nature and organic design with modern casting and fabricating techniques.  All pieces are hand cast or fabricated by me and all are one of a kind or limited run out of my studio in the Avondale neighborhood.  I use non-traditional, natural materials combined with modern lost wax casting and fabrication techniques to create jewelry that is at once rustic and modern.  From casting honeycomb in bronze for a necklace, to turning wax drippings into rings, I like to take materials not conventionally thought of as ""beautiful"" and use traditional jewelry techniques to create pieces that remind the wearer of the beauty that is indigenous to our natural world.",redbud.jpg,,
Shawn Stucky,2,"There are infinite ways to communicate ideas and emotions, and being a visual artist, I have found that I can relate to people through my work more deeply than other of mode of communication. It’s not an attribute that I necessarily sought to discover; rather, spontaneously feeling the urge to create, it seems that art sought me out and thus brought me into the world, becoming something I now uniquely share with many people.
Establishing a link to our unnamed feelings by mining my own various histories, I find that I can tune into a universal thread that connects me to my viewers using the process of destruction and reconstruction, all with the underlying goal of evoking feelings which people intentionally or unintentionally bury in the subconscious. When a successful connection is made – when the image most profoundly resonates with an individual – I find that these buried aspects of the self shake free and surface, iterating a more complete knowledge of ones own humanity. In the process, my own self-awareness has grown immeasurably.
Conversations, dreams, music and the unconscious mind are influences that have become foundational material for me. My endeavors start at a personal level, in a solitude I have come to appreciate as the home of my art, yet I have begun to expand into the community, working with other professional establishments and organizations, building upon ideas via collaboration which enrich the scope of my visual vocabulary and increase its accessibility. The way I envision a room or environment has now become a part of the endless effort to change and create an engaging atmosphere, both internally and externally.
I want to challenge myself to evoke the truths of human spirit while allowing others to transform and become emotionally absorbed within the beauty of unnamed feelings, perhaps eventually to be uncovered and named.
",stucky.jpg,stucky2.jpg,stucky3.jpg
SoulTribe,2,"SoulTribe is a lifestyle brand that creates and celebrates a community of believers in Love, Healing & Mindfulness — sprouted by two friends, Malia Rae and Liz Meitus.

SoulTribe is the expression of the community of beings that tune into your vibration, support your dreams, and always validate the growth road you’re on. We created SoulTribe to honor each other’s creativity, feed the world a few spoonfuls of gratitude, spread happiness, and dole out smiles. Life is good and we’re here to help reflect and remind us all of why we’re here.

We’re the ones that hang on a little tighter, laugh a little louder, pay you many compliments, cheer you on when you feel lost… all in the hopes that our emotional reach is far and wide — effecting this and many generations to come",Soultribe.jpeg,,
Starshaped Press,2,"Since 1999, Jennifer Farrell has operated Starshaped Press in Chicago, with a focus on design and letterpress work that encompasses social stationery, music packaging and posters, as well as custom commissions and wholesale ephemera. All work in the studio is done with metal and wood type, making Starshaped one of the few presses in the country producing commercial work while preserving antique type and related print materials. Jennifer’s work has been repeatedly recognized both in print and design blogs, and has appeared in poster shows throughout the USA and Europe.",Starshaped Press.jpg,,
Steel Petal Press,3,"Steel Petal Press® is a Chicago–based letterpress studio owned and operated by Shayna Norwood. What began as a part–time endeavor in 2008 has grown to include three presses, a paper cutter, and a small + awesome team. We print, package and ship each item by hand.  Shayna was first introduced to letterpress printing through a year – long book arts class she took while earning her BFA at San Francisco Art Institute. Since graduating she has perfected her craft while working in book arts centers from San Francisco to New York. Finally settling in Chicago, she started Steel Petal Press as a way to use her letterpress skills and unique perspective to share beauty and humor with the world through handmade stationery.",Steel petal Champagne.jpg,Steel Petal Love Chicago.jpg,steelpetal3.jpg
Steve Connell,2,"I love the way night transforms the urban environment. Instinctually we interpret our surroundings differently after dark. In this series of paintings I am trying to capture the unique mood and atmosphere created by night in the city of Chicago. I pick venues that attract this sensibility, some well known, others not. When I paint these images, I try to create a sense of stillness and urban isolation, as though the hour is late and the streets are devoid of people and traffic. The light reflections dance on the street and you can hear the echo on the sidewalk and the hum of the neon.

Chicago with its unique neighborhoods and rich history offers up a multitude of possible locations as subject matter for this series. I find myself like a moth being drawn to the light emanating from corner diners, bars, bakeries, theaters, etc. 

With a background in traditional painting, I have adopted new technology and create these paintings digitally on an iPad, using my finger as a brush. I start with my own sketch and build each image just like I would with canvas and paint, its just that now I can do this digitally. There is a satisfying immediacy to the medium. Painting on a backlit surface is like painting with light itself. A digital file allows me to create large canvas giclées, archival prints on paper as well as mounted prints on wood. 

Even before I lived here, Chicago was a city that seduced me. Through these paintings I am sharing my vision of this complicated, captivating city. 
",Steve Connell Dinkels.jpg,Steve Connell Green Mill.jpg,Steve Connell Margies.jpg
Storm Print City,2,"10 years ago I was standing on a corner in downtown Seattle and thought it would be a great idea to make a print from a manhole cover. I went to the store, bought supplies, and pulled my first print. Since then I've been traveling the country seeking out historic, symbolic, or ornate street metal and transforming it into unique art prints. I've collected over 300 prints on canvas from 60 cities across the country on a quest to pull at least one from every state. I currently reside in Chicago with over 20 pieces from the city.",Storm print city 1.JPG,Storm print city 2.JPG,
StudioChris,2,"StudioChris creates art that connects people with Chicago neighborhoods.
Chris was born and raised on Chicago’s southwest side, in the Clearing neighborhood. He studied graphic design and advertising at Columbia College in South Loop, and graduated in 1991. For the past 20 years, his day job has been in creative and management roles at a Fortune 500 company where his work has received national and international recognition.
In May 2011 Chris made a creative idea reality by merging his passions for art, architecture, and Chicago to create a series of posters celebrating Chicago’s neighborhoods. Each poster features an iconic image that represents the neighborhood’s uniqueness and history. The posters are screen printed on earth-friendly, recycled paper to give the prints a hand-crafted feel.
StudioChris and his wife are happy to live in Old Irving Park.
",StudioChris.jpg,StudioChris2.jpg,StudioChris3.jpg
The Little Illustrator,2,"My name is Jen, and I am the illustrator and owner of The Little Illustrator. I have always had a love and passion for art, especially illustration and painting. I opened my shop back in 2008 with honestly not much direction or really any idea what I was doing. At that time, I was a hair stylist, and had a little girl to support, so I had pretty much put any ideas of having any kind of art career to the side.
Almost 6 years and four babies later, I’m now a mom to five children, four of which are four years old and younger! My little business is better than I could have ever dreamed it would be. It gives me a creative outlet that I had missed so desperately before, and it allows me to be home with my babies. It’s my dream job for sure!!
I LOVE that my art makes people smile and brightens their day. That alone is why I love what I do. Making the world a happier place one illustration and card at a time.
",littleill.jpg,littleill2.jpg,littleill3.jpg
Thimble & Tag,5,"Hi! I’m Megan from Thimble & Tag — my handmade textiles company located in the heart of Chicago. I was introduced to sewing as a little kid but it wasn’t until recent years that I decided to pick it up and offer up my creations online and in local shops. I focus primarily on hand painted throw pillow covers, totes, wristlets, keychains, purses, clutches and zippered pouches. The inspiration for my pieces really come from me. I like to design products that are something I would want to carry. The fun for me comes with picking out all the colorful and happy fabrics and finding cute combinations that are one-of-a-kind. Painting my own look on some blank fabric has become a signature of my brand and I think really helps me offer truly standout pieces. ",Thimble and Tag.jpg,,
Tracey Capone Photography,2,"I am intrigued by the dance between shadows and light, the angles and lines they create and how everything works together to create dimension. Understanding these elements, and how unique vantage points tweak your perspective, has allowed me to photograph my subjects at uncommon angles which allow people to see things they wouldn’t normally notice.
Beyond my use of perspective, it is important to me to only photograph what I love, what intrigues me, not what I feel will be trendy or popular. Whether it’s Chicago, a sheep in Scotland, or a simple autumn leaf, being touched by the beauty of my subject makes me more invested in photographing it well. This lends itself towards a genuine emotion, both seen, and felt, in my work.
The craftsmanship of my work is just as important to me, and, ultimately, I create for the sake of craftsmanship, as a way to share my talent with others. I believe art is something that should be enjoyed by many, and not a select few, and, for this reason, I am always deeply touched seeing my work off to new homes. All of my work is hand mounted, by me, in my Chicago studio, on high grade, finished, birch panels using a process I have developed over the last several years.
",,,
True Partners in Craft,4,"Alexis Ellers under the name, True Partners In Craft acquires used bicycle inner tubes from friends and friendly bicycle shops across Chicago. She then cleans, cuts, hole punches, strings, twist and sews them into a variety of jewelry and accessories. Thanks to the many pot holes and broken glass strewn across Chicago bike lanes, True Partners In Craft is able to create beautiful recycled jewelry. Everything  is 100% vegan - so vegan that many of these tubes came from bicycles ridden by vegans.
",True Partners Alexis 1.jpeg,True Partners Alexis 2.jpeg,True Partners Alexis 3.jpg
Tuscany Creative,6,"My name is Katie and I am a former third grade teacher, now stay-at-home Mom of three. My kids are my inspiration for all the toys and gifts I design and make. All new creations have to be approved by my daughter Tuscany, who I named my shop after. Once I had my second child I decided to leave teaching so I could raise my daughter and son. With lots of creative energy to spare I started making fun and cute things for my six year old daughter Tuscany, my 2 year old son Agostino and my nieces in NYC. That’s when I knew I was really onto something special and decided to open my own store. Now I get to share all my creations with you! I have been in business for about 2 years and have sent my goodies to children in 40 states as well as 6 countries outside the Unites States. I also sell my creations in boutiques in New York & Chicago.",tuscany.jpg,tuscany2.jpg,tuscany3.jpg
,,,,,